Name,OID__c,Status__c,SDID__c,SD_Name__c
Dog,O-002108,Active,SD-000210,Identical
Dog,O-002109,Active,SD-000286,Non-Identical
Dog,O-002110,Active,SD-000211,Identical
Dog,O-002111,Active,SD-000287,Non-identical
Dog,O-002112,Active,SD-000212,Identical
Dog,O-002113,Active,SD-000288,Non-identical
Dog,O-002114,Active,SD-000170,Expressive Q/A
Dog,O-002115,Active,SD-000170,Expressive Q/A
Dog,O-002116,Active,SD-000135,Expressive
Dog,O-002117,Active,SD-000262,Matching
Dog,O-002118,Active,SD-000326,Pretend to be
Dog,O-002119,Active,SD-000007,2D Receptive
Dog,O-002120,Active,SD-000011,3D Receptive
dog,O-002121,Active,SD-000266,Matching
dog,O-002122,Active,SD-000154,Expressive
Dog,O-002123,Active,SD-000363,Receptive
Dog,O-002124,Active,SD-000125,Expressive
Dog,O-002125,Active,SD-000403,Receptive Q/A
Dog,O-002126,Active,SD-000160,Expressive (Animal says...)
Dog,O-002127,Active,SD-000238,Item
dog,O-002128,Active,SD-000392,Receptive
Dog,O-002130,Active,SD-000523,Written Word
dog glasses,O-002132,Active,SD-000151,Expressive
Doggy doggy,O-002133,Active,SD-000440,Social game
Doing hair,O-002134,Active,SD-000148,Expressive
Doing hair,O-002135,Active,SD-000431,Sequence
Doll house,O-002136,Active,SD-000323,Co-operative play with therapist
Doll in bed,O-002137,Active,SD-000356,Rec. play instr.
Doll/Teddy Play,O-002138,Active,SD-000023,Activity
Doll/Teddy Play,O-002139,Active,SD-000311,Planned model with toy
Dolls,O-002140,Active,SD-000323,Co-operative play with therapist
Dominoes,O-002141,Active,SD-000183,Game
Don't game,O-002144,Active,SD-000440,Social game
Don't hear the teacher,O-002145,Active,SD-000338,Q/A
Donkey,O-002146,Active,SD-000170,Expressive Q/A
Donkey,O-002147,Active,SD-000170,Expressive Q/A
Donkey,O-002148,Active,SD-000403,Receptive Q/A
Donkey,O-002149,Active,SD-000160,Expressive (Animal says...)
Door,O-002150,Active,SD-000371,Receptive
Door,O-002151,Active,SD-000131,Expressive
Door,O-002152,Active,SD-000239,Item
Door,O-002153,Active,SD-000249,Location
Dot to Dot,O-002154,Active,SD-000519,Worksheet
Dots,O-002156,Active,SD-000180,From model
Dots,O-002157,Active,SD-000374,Receptive
Dots,O-002158,Active,SD-000220,Imitation
Down,O-002159,Active,SD-000054,Independent request
Drank,O-002160,Active,SD-000088,Exp. past tense
drank,O-002161,Active,SD-000299,Past
Draw,O-002162,Active,SD-000356,Rec. play instr.
draw,O-002163,Active,SD-000182,Future
draw (picture),O-002165,Active,SD-000460,Tell me how to
Draw flower,O-002166,Active,SD-000460,Tell me how to
Draw house,O-002167,Active,SD-000460,Tell me how to
Draw person,O-002168,Active,SD-000460,Tell me how to
Draw sun,O-002169,Active,SD-000460,Tell me how to
Draw tree,O-002170,Active,SD-000460,Tell me how to
Drawers,O-002171,Active,SD-000135,Expressive
drawers,O-002172,Active,SD-000266,Matching
drawers,O-002173,Active,SD-000154,Expressive
Drawers,O-002174,Active,SD-000239,Item
drawers,O-002175,Active,SD-000392,Receptive
Drawers,O-002176,Active,SD-000249,Location
Drawing,O-002177,Active,SD-000359,Receptive
Drawing,O-002178,Active,SD-000035,Brainstorming
Drawing,O-002179,Active,SD-000323,Co-operative play with therapist
Drawing,O-002180,Active,SD-000023,Activity
Drawing,O-002181,Active,SD-000122,Expressive
Drawing,O-002182,Active,SD-000378,Receptive
Drawing,O-002183,Active,SD-000137,Expressive
drawing,O-002184,Active,SD-000322,Present
Dress,O-002185,Active,SD-000135,Expressive
dress,O-002186,Active,SD-000266,Matching
dress,O-002187,Active,SD-000154,Expressive
Dress,O-002188,Active,SD-000238,Item
dress,O-002189,Active,SD-000392,Receptive
Dress off,O-002190,Active,SD-000066,Daily living task
Dress on,O-002191,Active,SD-000066,Daily living task
Dress Ups,O-002192,Active,SD-000023,Activity
Dress-ups,O-002193,Active,SD-000323,Co-operative play with therapist
Dressing Chain,O-002194,Active,SD-000066,Daily living task
Drew,O-002195,Active,SD-000088,Exp. past tense
drew,O-002196,Active,SD-000299,Past
dried,O-002197,Active,SD-000299,Past
Drink,O-002198,Active,SD-000461,TH gives clues
Drink,O-002199,Active,SD-000106,Exposure
drink,O-002200,Active,SD-000182,Future
drink,O-002201,Active,SD-000514,Why/because
Drink,O-002202,Active,SD-000051,Comm. opportunity
Drink,O-002203,Active,SD-000157,Expressive - Intra-verbal
Drink Bottle,O-002204,Active,SD-000210,Identical
Drink Bottle,O-002205,Active,SD-000286,Non-Identical
